                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2789,                 11.535,                0.69065,                  6.866,                 3.4095,                0.99629,                      1,                  0.995,                0.65565,                      0,                      0,                      0,                      0,                 1.3909,                 11.572,                0.66839,                 2.2957,                 2.9721,                0.00024,                0.00024,                0.00024
                      2,                0.56003,                 11.451,                0.56203,                0.48502,                 1.3704,                 0.9989,                      1,                  0.995,                0.96976,                      0,                      0,                      0,                      0,                0.39058,                 11.488,                0.58556,                0.41182,                0.83255,             0.00049505,             0.00049505,             0.00049505
                      3,                 0.3483,                  11.23,                0.50116,                0.32732,                 1.1884,                0.98503,                      1,                  0.995,                0.96004,                      0,                      0,                      0,                      0,                0.76416,                 11.817,                0.51308,                 1.6145,                 1.0474,             0.00074495,             0.00074495,             0.00074495
                      4,                0.33918,                 11.099,                 0.4343,                0.31957,                  1.143,                0.91935,                      1,                0.95094,                0.91835,                      0,                      0,                      0,                      0,                0.39792,                 11.861,                0.67825,                 2.6445,                0.86987,             0.00098971,             0.00098971,             0.00098971
                      5,                0.31421,                 10.764,                0.41189,                0.34147,                 1.1113,                0.98935,                      1,                  0.995,                0.82071,                      0,                      0,                      0,                      0,                0.62465,                 11.767,                0.64224,                 2.8158,                 1.7508,              0.0012293,              0.0012293,              0.0012293
                      6,                 0.3284,                 10.427,                0.37259,                0.33806,                 1.1177,                0.95349,                      1,                  0.995,                0.80415,                      0,                      0,                      0,                      0,                0.56999,                 11.448,                0.73163,                 2.3388,                 1.1963,              0.0014638,              0.0014638,              0.0014638
                      7,                0.36548,                 10.405,                0.36912,                0.35727,                 1.1609,                0.97778,                0.77193,                0.98328,                0.60017,                      0,                      0,                      0,                      0,                0.94159,                   11.5,                0.63627,                 6.2188,                 2.0779,              0.0016931,              0.0016931,              0.0016931
                      8,                0.35538,                 10.008,                0.36162,                0.36775,                 1.1509,                0.99081,                      1,                  0.995,                0.89989,                      0,                      0,                      0,                      0,                0.49849,                  11.44,                0.55623,                 1.2269,                 0.9535,              0.0018614,              0.0018614,              0.0018614
                      9,                0.32898,                 9.7758,                0.35108,                0.35795,                 1.1268,                0.62591,                0.98246,                0.84592,                0.73979,                      0,                      0,                      0,                      0,                0.57353,                 11.645,                0.63587,                 2.6317,                 1.2122,              0.0018614,              0.0018614,              0.0018614
                     10,                0.31301,                 9.4822,                0.34747,                0.35956,                 1.1055,                 0.5442,                 0.8588,                0.74358,                  0.611,                      0,                      0,                      0,                      0,                0.60122,                 11.468,                0.50821,                  3.246,                 1.2233,              0.0018416,              0.0018416,              0.0018416
