                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2789,                 11.535,                0.69065,                  6.866,                 3.4095,                0.99631,                      1,                  0.995,                0.64845,                      0,                      0,                      0,                      0,                 1.4085,                 11.559,                0.66898,                 2.3494,                 2.9811,                0.00024,                0.00024,                0.00024
                      2,                0.55703,                 11.468,                0.56333,                 0.4778,                 1.3676,                0.99897,                      1,                  0.995,                0.96358,                      0,                      0,                      0,                      0,                0.43262,                 11.493,                0.59167,                0.41103,                0.87284,             0.00049901,             0.00049901,             0.00049901
                      3,                 0.3373,                 11.281,                0.49906,                0.30757,                 1.1817,                0.99581,                      1,                  0.995,                0.96675,                      0,                      0,                      0,                      0,                0.36115,                 11.729,                0.50699,                0.60784,                0.74407,             0.00075699,             0.00075699,             0.00075699
                      4,                 0.3212,                 11.217,                0.42944,                0.33353,                 1.1265,                0.99707,                      1,                  0.995,                0.97209,                      0,                      0,                      0,                      0,                 0.3754,                 11.469,                0.61243,                0.79096,                0.89357,              0.0010139,              0.0010139,              0.0010139
                      5,                0.32487,                 10.853,                 0.3999,                0.31289,                 1.1181,                0.94993,                      1,                  0.995,                0.94342,                      0,                      0,                      0,                      0,                0.41871,                 11.718,                0.69133,                 1.8318,                 0.9185,              0.0012699,              0.0012699,              0.0012699
                      6,                0.35333,                 10.742,                0.37482,                0.38754,                 1.1167,                0.94661,                      1,                  0.995,                0.94787,                      0,                      0,                      0,                      0,                0.37155,                  11.67,                  0.682,                 1.4685,                0.92496,              0.0015248,              0.0015248,              0.0015248
                      7,                0.34336,                 10.226,                0.36742,                0.32857,                 1.1344,                0.97917,                0.82456,                0.97797,                0.85214,                      0,                      0,                      0,                      0,                 0.5821,                 11.435,                0.60037,                 3.4338,                 1.0461,              0.0017786,              0.0017786,              0.0017786
                      8,                0.35792,                 10.083,                 0.3571,                0.36643,                 1.1381,                 0.8563,                      1,                0.98732,                0.75968,                      0,                      0,                      0,                      0,                0.59328,                 11.352,                0.61315,                 3.3725,                 1.3557,              0.0019723,              0.0019723,              0.0019723
                      9,                 0.3359,                 9.9443,                0.35506,                 0.3543,                 1.1445,                0.93065,                0.92982,                0.97014,                 0.7371,                      0,                      0,                      0,                      0,                 1.0484,                 11.026,                 0.4996,                 1.7064,                 1.5814,              0.0019723,              0.0019723,              0.0019723
                     10,                0.31567,                 9.7059,                 0.3518,                0.35561,                 1.1129,                0.62702,                0.58993,                0.61186,                0.23936,                      0,                      0,                      0,                      0,                 2.1243,                 10.848,                 0.4374,                 1.6492,                 2.6736,              0.0019683,              0.0019683,              0.0019683
