                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1628,                 1.8755,                 1.7494,                 0.9156,                0.76311,                0.27292,                0.26027,                0.18783,                0.75737,                 0.2705,                0.25611,                0.15792,                0.91071,                 1.3358,                 2.1638,                0.87818,             0.00041152,             0.00041152,             0.00041152
                      2,                 1.0219,                 1.5764,                0.90619,                0.88198,                0.90846,                0.39519,                0.45702,                 0.3211,                0.88187,                0.39657,                0.42764,                0.24745,                0.89226,                  1.287,                 0.8275,                0.89965,             0.00081999,             0.00081999,             0.00081999
                      3,                 1.0035,                 1.5463,                0.78818,                 0.8792,                0.98014,                0.46348,                0.56931,                0.42163,                0.98759,                0.45363,                0.51993,                0.31672,                0.80586,                 1.2409,                0.65885,                0.87693,              0.0012202,              0.0012202,              0.0012202
                      4,                0.94002,                 1.4758,                0.71222,                0.87174,                0.86874,                0.52695,                0.59114,                0.43333,                0.78892,                0.47168,                 0.5213,                0.30954,                0.78981,                 1.1896,                0.61432,                0.86539,              0.0012129,              0.0012129,              0.0012129
                      5,                0.92743,                 1.4414,                0.66897,                0.86746,                0.86769,                0.55898,                0.59984,                0.44501,                0.82455,                0.53438,                0.56908,                0.34727,                0.73185,                 1.1173,                0.56618,                0.85764,              0.0012129,              0.0012129,              0.0012129
                      6,                0.93838,                 1.4264,                0.66948,                 0.8671,                0.83745,                0.60599,                0.67767,                0.48626,                0.75273,                0.56134,                0.60417,                0.38312,                0.74218,                 1.0823,                0.55762,                0.85074,              0.0012005,              0.0012005,              0.0012005
                      7,                0.91508,                 1.4045,                0.62646,                0.86671,                0.78955,                0.63379,                0.67797,                0.49548,                  0.737,                0.60739,                 0.6351,                0.39285,                0.74288,                 1.0624,                0.55436,                0.86549,              0.0011881,              0.0011881,              0.0011881
                      8,                 0.8817,                 1.3659,                0.59288,                0.85986,                0.80121,                0.65939,                 0.6956,                0.49632,                0.79203,                 0.6396,                0.66078,                0.40159,                0.72155,                 1.0649,                0.52073,                0.84982,              0.0011757,              0.0011757,              0.0011757
                      9,                0.84751,                 1.3695,                0.56923,                0.85548,                0.94042,                0.61407,                 0.7074,                0.48834,                0.78837,                0.57416,                0.61551,                0.36214,                 0.7174,                 1.0342,                0.53021,                 0.8502,              0.0011634,              0.0011634,              0.0011634
                     10,                0.85423,                 1.3609,                0.56337,                0.85361,                0.83795,                 0.6824,                0.72212,                0.50538,                0.78672,                0.63727,                0.66183,                0.37966,                0.71523,                 1.0217,                0.49687,                0.84685,               0.001151,               0.001151,               0.001151
                     11,                0.81647,                 1.3121,                0.54178,                0.85015,                0.85578,                0.67253,                0.73459,                0.51476,                0.74913,                0.62713,                0.64091,                0.38247,                0.72139,                 1.0808,                0.51743,                0.85133,              0.0011386,              0.0011386,              0.0011386
                     12,                0.85059,                 1.3581,                0.54521,                0.85241,                0.84617,                0.64982,                0.69235,                0.48919,                0.69763,                0.62215,                0.61052,                0.36436,                0.72219,                 1.1088,                0.48989,                0.84965,              0.0011263,              0.0011263,              0.0011263
                     13,                0.84857,                  1.329,                0.53691,                0.85082,                0.90371,                0.63216,                0.69142,                0.49888,                0.84877,                0.61281,                0.65123,                0.38098,                0.68801,                 1.0697,                0.50616,                0.84397,              0.0011139,              0.0011139,              0.0011139
                     14,                0.82321,                 1.3221,                0.53301,                0.84732,                0.79219,                0.68304,                0.70313,                 0.5113,                0.75048,                0.60374,                0.62907,                0.38219,                0.67277,                 1.0622,                0.46239,                0.84623,              0.0011015,              0.0011015,              0.0011015
                     15,                0.80826,                  1.314,                0.52012,                0.84991,                0.83242,                0.69676,                0.72605,                0.52024,                0.74887,                0.64973,                0.65217,                0.40677,                0.64983,                 1.0033,                0.44396,                0.83998,              0.0010891,              0.0010891,              0.0010891
