                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.9514,                 5.0455,                 4.1421,                 3.4899,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 6.6799,                 5.1798,                 5.1762,                 4.1304,             0.00041152,             0.00041152,             0.00041152
                      2,                 2.3234,                 2.9126,                 1.3377,                 1.8462,                0.91518,                0.40896,                0.43439,                0.20054,                0.90524,                0.39945,                0.41298,                0.17115,                 1.8886,                 2.3537,                  1.024,                 1.6355,             0.00081999,             0.00081999,             0.00081999
                      3,                 1.9845,                 2.3477,                 1.1309,                 1.5376,                0.93387,                0.42611,                0.45615,                 0.1974,                0.92854,                 0.4186,                0.43264,                0.24061,                 1.9788,                  1.918,                 1.0482,                 1.4812,              0.0012202,              0.0012202,              0.0012202
                      4,                 1.8021,                 2.1205,                 1.0504,                 1.3708,                0.93389,                0.43268,                0.45732,                0.25395,                0.92903,                0.42498,                0.44339,                 0.2538,                 1.5252,                 1.7845,                0.91742,                 1.2828,              0.0012129,              0.0012129,              0.0012129
                      5,                 1.6819,                 1.9877,                0.99388,                 1.2599,                0.94013,                0.43239,                0.46331,                0.28047,                0.93696,                0.42257,                0.45179,                0.26325,                 1.3985,                 1.6407,                0.90731,                 1.2029,              0.0012129,              0.0012129,              0.0012129
                      6,                 1.5888,                 1.9079,                0.94458,                 1.1948,                0.95669,                0.42976,                0.47019,                0.28787,                0.95303,                0.42349,                0.45368,                0.26993,                 1.3724,                 1.5917,                0.81421,                 1.1632,              0.0012005,              0.0012005,              0.0012005
                      7,                 1.5028,                 1.8524,                0.89406,                 1.1485,                0.97843,                0.43713,                0.49503,                0.30541,                0.96991,                0.42839,                0.47054,                 0.2799,                 1.2869,                 1.4862,                0.79575,                 1.1214,              0.0011881,              0.0011881,              0.0011881
                      8,                 1.4514,                 1.7912,                0.84933,                 1.1033,                0.96851,                0.45738,                0.50446,                0.31893,                0.95562,                0.44536,                0.49731,                0.30531,                 1.2616,                 1.4423,                0.77048,                 1.0874,              0.0011757,              0.0011757,              0.0011757
                      9,                 1.3968,                 1.7659,                 0.8234,                 1.0866,                0.96721,                0.45726,                0.52722,                0.34314,                0.97473,                0.43921,                0.51612,                0.31701,                 1.1548,                 1.4008,                 0.7272,                 1.0499,              0.0011634,              0.0011634,              0.0011634
                     10,                 1.3463,                 1.7266,                0.79643,                 1.0567,                0.97908,                0.45019,                0.55238,                0.33035,                0.96987,                0.43951,                0.52724,                 0.3038,                 1.2688,                 1.4281,                0.75671,                 1.0828,               0.001151,               0.001151,               0.001151
                     11,                 1.3102,                 1.6921,                0.77581,                 1.0454,                0.97461,                0.45901,                0.56841,                0.35944,                0.96832,                0.45212,                0.53867,                 0.3138,                 1.1075,                 1.3942,                0.69099,                 1.0232,              0.0011386,              0.0011386,              0.0011386
                     12,                 1.2702,                 1.6925,                0.74331,                 1.0226,                0.82878,                0.52255,                0.55191,                0.35011,                0.69843,                0.49604,                0.51506,                0.30016,                  1.111,                 1.3478,                0.70262,                 1.0076,              0.0011263,              0.0011263,              0.0011263
                     13,                 1.2522,                 1.6467,                 0.7223,                 1.0133,                0.71683,                0.54013,                0.58019,                0.36767,                0.73565,                0.47521,                0.54143,                0.31264,                 1.1214,                 1.3774,                0.68695,                 1.0186,              0.0011139,              0.0011139,              0.0011139
                     14,                 1.2648,                 1.6606,                0.72992,                 1.0091,                0.72546,                0.56657,                0.59429,                0.38932,                0.67107,                0.50884,                0.55717,                0.33004,                 1.0137,                 1.2719,                 0.6255,                0.97612,              0.0011015,              0.0011015,              0.0011015
                     15,                 1.2212,                 1.6408,                0.71713,                 1.0069,                0.71208,                0.54137,                0.55424,                0.36981,                  0.552,                0.51125,                0.51134,                0.31006,                 1.0229,                 1.2712,                0.65351,                0.97433,              0.0010891,              0.0010891,              0.0010891
                     16,                 1.2085,                 1.5987,                0.68932,                0.99722,                0.77307,                0.53621,                0.57233,                0.37356,                0.63306,                0.50772,                0.54282,                0.33734,                 1.0265,                 1.2692,                0.62957,                0.98337,              0.0010768,              0.0010768,              0.0010768
                     17,                 1.1523,                 1.5748,                0.67091,                  0.984,                 0.7098,                0.59202,                0.58792,                0.39548,                0.58261,                0.55785,                0.55898,                0.33675,                0.94965,                 1.2475,                0.59975,                0.96186,              0.0010644,              0.0010644,              0.0010644
                     18,                 1.1421,                 1.5657,                0.65269,                0.97482,                 0.7769,                0.58564,                0.60256,                 0.3904,                0.61431,                0.55951,                  0.565,                0.31252,                 1.0185,                  1.237,                0.59418,                0.95638,               0.001052,               0.001052,               0.001052
                     19,                 1.1468,                 1.5508,                0.65431,                0.97355,                0.79205,                0.59285,                0.60874,                0.40488,                0.60581,                0.54576,                0.55274,                 0.3393,                0.97057,                 1.2245,                 0.5883,                0.96463,              0.0010396,              0.0010396,              0.0010396
                     20,                 1.1298,                 1.5581,                 0.6487,                 0.9724,                0.78724,                0.55388,                0.58955,                 0.3943,                0.66343,                0.53842,                0.55871,                0.35124,                0.98668,                 1.2254,                 0.6085,                0.96292,              0.0010273,              0.0010273,              0.0010273
                     21,                 1.0935,                 1.5108,                0.62128,                0.95899,                 0.8368,                0.56564,                0.61123,                0.42847,                0.57946,                0.56325,                0.56053,                0.33429,                0.88969,                 1.1802,                0.56177,                0.93818,              0.0010149,              0.0010149,              0.0010149
                     22,                  1.076,                 1.5284,                0.61096,                 0.9508,                0.82905,                 0.5923,                 0.6153,                 0.4181,                0.66113,                0.56203,                0.57626,                0.36224,                0.91436,                 1.1886,                0.57722,                0.93341,              0.0010025,              0.0010025,              0.0010025
                     23,                  1.057,                 1.4975,                0.59974,                0.94788,                0.78797,                0.57559,                0.59522,                0.41141,                0.55165,                0.52704,                0.53125,                0.32747,                0.87784,                 1.1986,                0.57004,                0.92779,             0.00099013,             0.00099013,             0.00099013
                     24,                 1.0385,                 1.5016,                0.59397,                0.94572,                0.85594,                0.59228,                0.63006,                0.44123,                0.64406,                0.55054,                0.57654,                0.35321,                0.86779,                 1.1698,                0.54115,                0.92329,             0.00097775,             0.00097775,             0.00097775
                     25,                 1.0471,                 1.5045,                0.59361,                0.94354,                0.81827,                0.59954,                0.61808,                 0.4264,                0.59789,                0.54141,                0.54083,                0.33531,                0.86213,                 1.1614,                0.52193,                0.91858,             0.00096537,             0.00096537,             0.00096537
                     26,                 1.0437,                 1.5132,                0.58557,                0.94277,                0.85022,                 0.5854,                0.62878,                0.43192,                0.68359,                0.55059,                0.57008,                0.34182,                0.92676,                  1.155,                 0.5375,                0.94482,               0.000953,               0.000953,               0.000953
                     27,                 1.0322,                 1.4779,                 0.5728,                0.93688,                 0.8761,                0.60443,                0.64199,                0.45198,                 0.6874,                0.55707,                0.58129,                0.35562,                0.81763,                 1.1666,                0.50703,                0.91179,             0.00094062,             0.00094062,             0.00094062
                     28,                 0.9931,                 1.4623,                0.56324,                0.92847,                0.81384,                0.61476,                0.64067,                0.46054,                0.76339,                0.55234,                0.59938,                0.37023,                0.81189,                 1.1578,                0.50467,                0.91095,             0.00092825,             0.00092825,             0.00092825
                     29,                0.98796,                 1.4531,                0.55779,                0.92728,                0.87124,                0.61291,                0.65395,                0.45371,                0.71398,                 0.5839,                  0.611,                0.37063,                0.79716,                 1.1464,                 0.5127,                0.90673,             0.00091588,             0.00091588,             0.00091588
                     30,                 1.0321,                 1.4685,                0.56925,                0.92464,                0.73502,                0.61362,                0.63023,                0.44965,                0.62612,                0.57547,                0.58074,                0.35252,                0.85549,                 1.1158,                0.50664,                0.91126,              0.0009035,              0.0009035,              0.0009035
                     31,                0.98271,                 1.4284,                0.54772,                0.92519,                 0.7566,                0.61597,                0.63181,                0.45218,                0.63767,                0.58149,                0.57838,                0.35844,                0.82997,                 1.1173,                 0.5007,                0.90678,             0.00089112,             0.00089112,             0.00089112
                     32,                0.97698,                 1.4407,                0.54555,                0.92085,                0.81048,                0.59387,                0.62833,                0.43775,                0.67903,                0.56093,                0.58389,                0.34078,                0.86103,                 1.1182,                0.50836,                0.91448,             0.00087875,             0.00087875,             0.00087875
                     33,                0.98757,                 1.4291,                0.55016,                 0.9222,                0.82567,                0.61533,                0.63129,                0.45653,                0.67165,                0.57423,                0.58976,                 0.3616,                0.79843,                 1.0978,                0.48477,                0.89874,             0.00086637,             0.00086637,             0.00086637
