                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2113,                 2.4382,                0.92904,                0.03348,                0.48718,                0.22532,                0.15581,                0.98848,                 2.6667,                0.89045,             0.00040833,             0.00040833,             0.00040833
                      2,                 1.0794,                 1.3122,                0.90989,                0.70934,                0.22775,                0.24523,                0.17773,                0.95769,                 1.4833,                0.89022,             0.00080866,             0.00080866,             0.00080866
                      3,                 1.0902,                 1.2184,                0.90754,                0.97197,                0.23623,                0.25569,                0.18687,                0.96291,                 1.1571,                0.90106,              0.0011925,              0.0011925,              0.0011925
                      4,                 1.0941,                 1.1883,                0.90756,                0.97553,                0.23943,                0.25975,                0.19288,                0.94041,                0.98284,                 0.8974,              0.0011757,              0.0011757,              0.0011757
                      5,                 1.0418,                 1.1021,                0.89631,                0.97253,                0.23791,                0.31664,                0.21464,                0.91929,                 0.9396,                0.89099,              0.0011757,              0.0011757,              0.0011757
                      6,                 1.0349,                 1.0878,                0.89023,                0.97606,                0.23798,                0.32287,                0.22029,                0.88962,                0.90781,                0.88408,               0.001151,               0.001151,               0.001151
                      7,                 1.0171,                 1.0445,                0.88893,                0.45293,                0.31687,                 0.3608,                0.22398,                0.96799,                 0.9077,                0.89438,              0.0011263,              0.0011263,              0.0011263
                      8,                 1.0084,                 1.0321,                0.89353,                 0.4703,                0.36252,                0.38604,                0.25745,                0.86069,                0.83102,                0.88491,              0.0011015,              0.0011015,              0.0011015
                      9,                0.98246,                   0.99,                0.88618,                0.45906,                0.35375,                0.42866,                0.28952,                0.85724,                0.83458,                0.89436,              0.0010768,              0.0010768,              0.0010768
                     10,                 0.9527,                0.95451,                0.88012,                0.55763,                0.41516,                0.45088,                0.30244,                0.82332,                  0.773,                0.87478,               0.001052,               0.001052,               0.001052
                     11,                0.94909,                0.91344,                0.88176,                0.46542,                0.46512,                0.50228,                0.34456,                0.83864,                0.76135,                0.87871,              0.0010273,              0.0010273,              0.0010273
                     12,                0.93136,                0.88988,                0.87585,                0.76674,                0.44308,                0.50351,                0.34196,                0.81309,                0.72576,                0.87773,              0.0010025,              0.0010025,              0.0010025
                     13,                0.93133,                0.85218,                0.87208,                0.82972,                0.50411,                0.56049,                0.37817,                0.80862,                0.72438,                0.87134,             0.00097775,             0.00097775,             0.00097775
                     14,                0.89902,                0.82495,                0.86778,                0.85852,                0.51604,                0.59592,                0.40972,                0.80855,                0.68468,                0.86772,               0.000953,               0.000953,               0.000953
                     15,                0.90583,                0.81172,                0.87108,                0.63935,                0.66693,                0.64197,                0.43591,                0.81183,                0.65375,                 0.8721,             0.00092825,             0.00092825,             0.00092825
                     16,                0.92625,                0.80147,                0.87443,                0.60942,                0.71237,                0.66071,                0.46174,                0.78399,                0.63191,                0.86574,              0.0009035,              0.0009035,              0.0009035
                     17,                0.88727,                0.76686,                0.87007,                0.64688,                0.71857,                 0.6932,                0.47822,                0.79771,                0.63912,                0.86934,             0.00087875,             0.00087875,             0.00087875
                     18,                0.89738,                0.75642,                0.87692,                0.80764,                0.67496,                0.71313,                0.47201,                0.89308,                0.63806,                0.89602,               0.000854,               0.000854,               0.000854
                     19,                0.91354,                0.75663,                0.87423,                 0.6383,                0.71106,                0.71364,                0.48639,                0.79648,                0.63438,                 0.8693,             0.00082925,             0.00082925,             0.00082925
                     20,                0.89714,                0.72459,                0.87156,                0.82464,                0.71363,                  0.775,                0.52329,                0.84798,                0.59108,                0.88132,              0.0008045,              0.0008045,              0.0008045
                     21,                0.89356,                0.69891,                 0.8664,                0.72834,                0.74344,                0.76901,                0.53914,                0.79819,                0.60709,                 0.8743,             0.00077975,             0.00077975,             0.00077975
                     22,                0.88561,                0.69483,                0.86764,                0.84861,                0.72003,                0.78282,                0.55268,                0.77573,                0.56861,                0.86788,               0.000755,               0.000755,               0.000755
                     23,                0.85909,                0.66206,                 0.8635,                0.80266,                0.74937,                0.81102,                0.56972,                0.77132,                0.56231,                0.86545,             0.00073025,             0.00073025,             0.00073025
                     24,                0.86343,                0.66622,                0.86073,                0.77972,                0.76692,                0.81311,                0.57312,                0.76487,                 0.5523,                  0.868,              0.0007055,              0.0007055,              0.0007055
                     25,                0.86211,                0.65093,                0.86042,                0.82612,                0.75456,                0.82262,                0.59016,                0.78637,                0.55467,                0.86895,             0.00068075,             0.00068075,             0.00068075
                     26,                0.84689,                 0.6508,                 0.8642,                0.93729,                0.73812,                0.82878,                0.59174,                0.77712,                0.53679,                0.86302,               0.000656,               0.000656,               0.000656
                     27,                0.85905,                0.64114,                0.86312,                  0.819,                0.75537,                 0.8202,                0.58394,                0.76253,                0.55352,                 0.8659,             0.00063125,             0.00063125,             0.00063125
                     28,                0.83486,                0.62436,                0.86328,                0.85411,                0.76773,                0.82613,                0.58753,                0.77909,                0.52043,                0.86642,              0.0006065,              0.0006065,              0.0006065
                     29,                0.84257,                0.61538,                0.85645,                0.89005,                0.76344,                0.83501,                0.59245,                0.79595,                0.53614,                0.86561,             0.00058175,             0.00058175,             0.00058175
                     30,                0.85037,                0.61519,                0.85438,                0.88506,                 0.7731,                0.83109,                 0.5929,                0.76132,                0.51502,                0.86218,               0.000557,               0.000557,               0.000557
                     31,                0.81604,                0.58574,                0.85136,                0.89943,                0.75863,                0.83698,                0.60172,                0.76425,                0.51007,                0.86141,             0.00053225,             0.00053225,             0.00053225
                     32,                0.80889,                0.57836,                0.85278,                0.83827,                0.79613,                0.84366,                0.61188,                0.73484,                0.49403,                0.86028,              0.0005075,              0.0005075,              0.0005075
                     33,                0.81463,                0.57927,                0.85321,                0.82951,                0.79218,                0.84763,                0.60258,                0.77054,                0.49191,                0.86118,             0.00048275,             0.00048275,             0.00048275
                     34,                0.85054,                0.58261,                0.85748,                0.90257,                0.75814,                0.84163,                0.59224,                 0.8053,                 0.5217,                0.86416,               0.000458,               0.000458,               0.000458
                     35,                0.82864,                0.57086,                0.85231,                0.95436,                0.72754,                0.83381,                0.59581,                0.72888,                0.49127,                0.85644,             0.00043325,             0.00043325,             0.00043325
                     36,                0.82623,                0.56797,                0.85668,                0.92484,                 0.7598,                0.84174,                0.61466,                0.72529,                0.48361,                0.85869,              0.0004085,              0.0004085,              0.0004085
                     37,                0.79593,                 0.5511,                0.85308,                0.85895,                0.77346,                0.84144,                0.60775,                0.73433,                 0.4831,                0.86194,             0.00038375,             0.00038375,             0.00038375
                     38,                0.80228,                0.54594,                0.84799,                0.87477,                0.77969,                0.84136,                0.61776,                0.71896,                0.46291,                0.85797,               0.000359,               0.000359,               0.000359
                     39,                0.80178,                0.54917,                0.85006,                0.88478,                0.78264,                0.84759,                  0.615,                0.73544,                0.47449,                0.85759,             0.00033425,             0.00033425,             0.00033425
                     40,                0.78723,                0.54517,                0.84712,                0.87792,                  0.794,                0.85321,                0.61437,                 0.7243,                0.46954,                0.85855,              0.0003095,              0.0003095,              0.0003095
                     41,                0.75545,                0.53324,                0.85479,                0.90862,                0.77832,                0.85103,                0.61508,                0.72957,                0.47032,                0.85861,             0.00028475,             0.00028475,             0.00028475
                     42,                0.74234,                0.52011,                0.85267,                0.89272,                0.76762,                0.84275,                 0.6038,                0.73513,                0.47759,                 0.8606,                0.00026,                0.00026,                0.00026
                     43,                0.74905,                0.52115,                0.84841,                0.93821,                0.77095,                0.85805,                0.62015,                0.72357,                0.46489,                0.85881,             0.00023525,             0.00023525,             0.00023525
                     44,                0.73338,                0.50231,                0.84874,                0.91974,                0.77191,                0.86534,                0.62622,                0.72197,                0.46465,                0.85937,              0.0002105,              0.0002105,              0.0002105
                     45,                0.74511,                0.51083,                0.84869,                0.83502,                0.81575,                0.85686,                0.61953,                 0.7241,                0.45997,                0.85813,             0.00018575,             0.00018575,             0.00018575
                     46,                0.72595,                0.49504,                0.84348,                0.83973,                0.82591,                0.85963,                0.61824,                0.72678,                0.45293,                0.85588,               0.000161,               0.000161,               0.000161
                     47,                0.72909,                0.49638,                0.84693,                 0.9477,                0.75765,                0.86372,                0.61954,                0.72749,                0.45878,                0.85418,             0.00013625,             0.00013625,             0.00013625
                     48,                0.72432,                0.48538,                0.84221,                0.93799,                0.76265,                0.85893,                0.62205,                0.72348,                0.44529,                0.85513,              0.0001115,              0.0001115,              0.0001115
                     49,                0.72784,                0.48886,                0.85121,                0.87542,                0.78225,                0.85217,                0.61987,                0.71514,                0.45155,                0.85591,              8.675e-05,              8.675e-05,              8.675e-05
                     50,                0.72209,                0.48908,                0.84644,                0.90594,                0.77282,                0.85203,                0.62571,                0.71773,                0.44766,                0.85516,                6.2e-05,                6.2e-05,                6.2e-05
